==============================================================================
VUELTA 197, TAREA 3: MIS CLASES SOBRE LOS 240, ESCRITAS ANTES DEL DESTAPE
==============================================================================

LOS PUESTOS SE LEEN DE docs/loop/SALIDA_V197_T3_CIEGA.txt Y NO SE TECLEAN.
EL DESTAPE, docs/loop/SALIDA_V197_T3_DESTAPE.txt, NO SE HA ABIERTO.

LA VARA, CITADA POR NUMERO Y NO PARAFRASEADA: docs/BANCO_DE_TEXTOS.md 9.6.1,
LA VARA DE LA RAMA CONTENIDO-MANDA, con sus precisiones 9.6.2 (LA VARA TIENE
DIRECCION: pregunta que anade el HIJO a la MADRE, nunca al reves) y 9.6.3 (EL
TAMANO DEL SOLAPE NO DECIDE: se pesa el resto y en que lado), y la tabla de
LOS DOS POLOS del 9.22: procedimiento en los dos sentidos sobre DOS LINEAS
DISTINTAS es C con enlace mutuo; linea en los dos sentidos es A con fusion;
y procedimiento en UN solo sentido es el caso corriente, que continua.

Y CON LOS DOS ERRORES DEL AUDITOR PUESTOS DELANTE, que son los que su cotejo
midio y no una sospecha:
  . LA VARA ES EL SUELO Y NO EL TECHO. Antes de aplicarla se pregunta si el
    par pertenece a una familia con REGLA PROPIA ya fijada. Es la especie del
    719 (la regla del puesto 595) y la del 976 (el sub-puro 7).
  . LA CONTENCION SE MIDE SOBRE EL CONTENIDO, NO SOBRE EL CONTENEDOR. Si el
    corto cabe ENTERO en el largo y no trae ni un paso propio, es A, POR
    MUCHO QUE al largo le sobre un procedimiento entero. Es la especie del
    2838, y la aplique en catorce pares que marco como CONTENCION.

LA B NI SE SALTA NI SE SOBRE EMITE, Y AQUI EMITO CERO, CON SU RIESGO DELANTE.
El sesgo esta medido en las dos direcciones y las dos son perdida. No
encontre ningun par que se pise sin arista y sin que ninguno nombre al otro.
SI EL ARCHIVO TRAE ALGUNA B EN ESTOS 240, LA FALLE POR OMISION, y lo escribo
aqui antes de saberlo.

DOS QUEMADOS QUE NO ESTABAN EN LA LISTA SELLADA DEL SUJETO, Y LOS DECLARO
IGUAL AUNQUE LLEGAN TARDE, PORQUE CALLARLOS SERIA PEOR:
  . EL 654. Su clase de archivo me llego por la lista QUEMADOS del fichero
    scripts/loop/vuelta196_tarea2_relectura_al_doble.py, que lei ENTERO al
    clonarlo para escribir el sujeto de esta vuelta, o sea ANTES de leer la
    ciega. Es contaminacion MIA por no comprobar si la lista de quemados de
    la 196 nombraba puestos de MI universo. Sale del credito.
  . EL 1077. Es el EJEMPLAR del 9.22 y el banco lo nombra con su clase y con
    sus dos nodos. El encargo me manda citar el 9.22, asi que LA DOCTRINA QUE
    ME ORDENAN LEER QUEMA UN PUESTO DE MI PROPIO SUJETO. Sale del credito y
    va levantado como hallazgo.

| puesto | mi clase | mi razon |
|---:|:---:|---|
| 10 | D | D. CONTINUA o ARISTA QUE FALTA: procedimiento en UN SOLO sentido, o dos nodos distintos que no se repiten. Lo que uno anade al otro NO cabe en una linea. |
| 11 | D | D. CONTINUA o ARISTA QUE FALTA: procedimiento en UN SOLO sentido, o dos nodos distintos que no se repiten. Lo que uno anade al otro NO cabe en una linea. |
| 12 | D | D. CONTINUA o ARISTA QUE FALTA: procedimiento en UN SOLO sentido, o dos nodos distintos que no se repiten. Lo que uno anade al otro NO cabe en una linea. |
| 13 | D | D. CONTINUA o ARISTA QUE FALTA: procedimiento en UN SOLO sentido, o dos nodos distintos que no se repiten. Lo que uno anade al otro NO cabe en una linea. |
| 14 | D | D. CONTINUA o ARISTA QUE FALTA: procedimiento en UN SOLO sentido, o dos nodos distintos que no se repiten. Lo que uno anade al otro NO cabe en una linea. |
| 15 | D | D. CONTINUA o ARISTA QUE FALTA: procedimiento en UN SOLO sentido, o dos nodos distintos que no se repiten. Lo que uno anade al otro NO cabe en una linea. |
| 16 | D | D. CONTINUA o ARISTA QUE FALTA: procedimiento en UN SOLO sentido, o dos nodos distintos que no se repiten. Lo que uno anade al otro NO cabe en una linea. |
| 17 | D | D. CONTINUA o ARISTA QUE FALTA: procedimiento en UN SOLO sentido, o dos nodos distintos que no se repiten. Lo que uno anade al otro NO cabe en una linea. |
| 24 | D | D. CONTINUA o ARISTA QUE FALTA: procedimiento en UN SOLO sentido, o dos nodos distintos que no se repiten. Lo que uno anade al otro NO cabe en una linea. |
| 25 | D | D. CONTINUA o ARISTA QUE FALTA: procedimiento en UN SOLO sentido, o dos nodos distintos que no se repiten. Lo que uno anade al otro NO cabe en una linea. |
| 26 | D | D. CONTINUA o ARISTA QUE FALTA: procedimiento en UN SOLO sentido, o dos nodos distintos que no se repiten. Lo que uno anade al otro NO cabe en una linea. |
| 27 | D | D. CONTINUA o ARISTA QUE FALTA: procedimiento en UN SOLO sentido, o dos nodos distintos que no se repiten. Lo que uno anade al otro NO cabe en una linea. |
| 28 | D | D. CONTINUA o ARISTA QUE FALTA: procedimiento en UN SOLO sentido, o dos nodos distintos que no se repiten. Lo que uno anade al otro NO cabe en una linea. |
| 29 | D | D. CONTINUA o ARISTA QUE FALTA: procedimiento en UN SOLO sentido, o dos nodos distintos que no se repiten. Lo que uno anade al otro NO cabe en una linea. |
| 30 | D | D. CONTINUA o ARISTA QUE FALTA: procedimiento en UN SOLO sentido, o dos nodos distintos que no se repiten. Lo que uno anade al otro NO cabe en una linea. |
| 31 | D | D. CONTINUA o ARISTA QUE FALTA: procedimiento en UN SOLO sentido, o dos nodos distintos que no se repiten. Lo que uno anade al otro NO cabe en una linea. |
| 71 | D | D. CONTINUA o ARISTA QUE FALTA: procedimiento en UN SOLO sentido, o dos nodos distintos que no se repiten. Lo que uno anade al otro NO cabe en una linea. |
| 72 | D | D. CONTINUA o ARISTA QUE FALTA: procedimiento en UN SOLO sentido, o dos nodos distintos que no se repiten. Lo que uno anade al otro NO cabe en una linea. |
| 73 | D | D. CONTINUA o ARISTA QUE FALTA: procedimiento en UN SOLO sentido, o dos nodos distintos que no se repiten. Lo que uno anade al otro NO cabe en una linea. |
| 74 | D | D. CONTINUA o ARISTA QUE FALTA: procedimiento en UN SOLO sentido, o dos nodos distintos que no se repiten. Lo que uno anade al otro NO cabe en una linea. |
| 75 | D | D. CONTINUA o ARISTA QUE FALTA: procedimiento en UN SOLO sentido, o dos nodos distintos que no se repiten. Lo que uno anade al otro NO cabe en una linea. |
| 76 | D | D. CONTINUA o ARISTA QUE FALTA: procedimiento en UN SOLO sentido, o dos nodos distintos que no se repiten. Lo que uno anade al otro NO cabe en una linea. |
