id	veredicto	lineas	frase_clave	dato	texto_fiel	razon
DK1-001	FIEL	L3268-L3268	Engaging people with an external drive “to be safe” through posters, reminders, stickers and campaigns denies or downplays the existence or relevance or power of this internal motivation.			El libro rechaza campanas externas (posters, recordatorios); en L3279 critica la motivacion impuesta con sticks and carrots y en L310 dice que exhortar con posters no quita el problema.
DK1-002	OPERATIVO	L294-L304	But does that help in the long run--or even the short run? It doesn’t.		Pregúntate si las medidas que aplicaste, como sacar a las 'manzanas podridas', poner más reglas, pedir más vigilancia o sustituir personas por tecnología, ayudaron de verdad a largo o incluso a corto plazo.	El libro plantea esa misma pregunta sobre las medidas de la Vieja Vision y la responde; hacerla evaluacion propia concreta el texto sin datos nuevos.
DK1-003	FIEL	L3304-L3304	What are the “workarounds,” innovations or improvisations that people have to engage in in order to meet the various demands imposed on them?			Literal.
DK1-004	FIEL	L2304-L2306	students have learned to see highly interconnected processes as independent from one another, or to treat dynamic processes as static ... since that is how they were taught.			Parafrasis: la organizacion del conocimiento depende de como se enseno.
DK1-005	FIEL	L1014-L1022	Debriefings of mishap participants help construct the situation that surrounded people at the time and gets their view on that situation.			El libro propone debriefings de participantes para entender por que tuvo sentido lo que hicieron (L389).
DK1-006	ANADIDO	L862-L862	Real understanding comes from putting yourself in the shoes of the people on the inside of the sequence of events; on the inside of the tunnel.	prueba de sustitucion de Johnston con tres colegas de la misma formacion	Ponerse en el lugar de quienes estaban dentro de la secuencia de eventos, sin conocer el desenlace, para ver por qué tuvo sentido lo que hicieron.	El libro no menciona a Johnston, la prueba de sustitucion ni tres colegas (Grep de Johnston, substitution, three colleagues, same training: sin resultados); herramienta ajena al libro.
DK1-007	OPERATIVO	L3565-L3578	It is not defined by its control variables: the safety inputs that everyone in the organization makes.		Pon el foco en lo que tú y tu organización hacen (las aportaciones a la seguridad que controlan), no solo en el resultado medido en accidentes.	El libro critica definir la seguridad por la variable dependiente (resultado) y no por las variables de control; no habla de disenar indicadores, el paso lo concreta en su direccion.
DK1-008	OPERATIVO	L646-L646	So make sure you have people involved in the aftermath of an incident who know the messy details, and who have credibility in the eyes of other practitioners.		Asegurar que en el análisis posterior al incidente participen personas que conozcan los detalles reales del trabajo y tengan credibilidad ante otros trabajadores.	El libro pide involucrar a esas personas; recopilar sus testimonios es una concrecion en la misma direccion.
DK1-009	OPERATIVO	L572-L580	ask him to write up his account of what happened and why. And then to publish this account widely throughout the company.		Difundir en la organización lo aprendido del incidente, por ejemplo el relato de quien lo vivió, sin estigmatizar a los involucrados.	El libro apoya difundir relatos en toda la empresa (L572) y advierte contra estigmatizar a los involucrados (L3593-L3599); unirlo como comunicar aprendizajes es concrecion.
DK1-010	FIEL	L1979-L1981	A more efficient way to get readers to understand the important role played by the organizational blunt end could be to build a flowchart ... Start at the blunt end, not the sharp end.			Literal.
