id	veredicto	lineas	frase_clave	dato	texto_fiel	razon
SB2-001	OPERATIVO	L1855-L1861	To help ensure that workers are free to participate in safety and health activities, Section 11(c) of the OSH Act prohibits any person from firing or in any manner retaliating against any worker for exercising rights under the OSH Act.		Ten presente, y que lo sepa tu equipo, que la ley prohíbe tomar represalias contra quien ejerce sus derechos de seguridad y salud	El libro describe el derecho y la prohibición de represalias; no pide expresamente al empleador explicarlo, aunque sí pide enseñar a los jóvenes sus derechos (L1747). Concreta en la misma dirección sin datos nuevos.
SB2-002	FIEL	L317	Whenever a worker is exposed to contact with parts of fixed electric equipment or circuits that have been de-energized, the circuits energizing the parts are locked out or tagged, as appropriate.			Parafrasea el bloqueo y etiquetado de circuitos desenergizados.
SB2-003	FIEL	L1905-L1907	The NIOSH HHE Program helps employers and employees learn whether health hazards are present at their workplace ... Evaluations are done at no cost.			Literal: HHE gratuita para saber si hay peligros.
SB2-004	ANADIDO	L1477-L1481	Covers including skylight screens, are able to withstand, without failure, twice the maximum intended load that may be imposed on the cover at any one time.	que las barandillas soporten el doble de la carga máxima	Proteger cada abertura con cubierta, barandilla o equivalente; las cubiertas deben soportar el doble de la carga máxima prevista	El libro exige el doble de la carga solo a las cubiertas (L1481); las barandillas aparecen como forma de proteger la abertura (L1477) sin requisito de carga. Buscado twice/load/guardrail en todo el libro: no se aplica a barandillas.
SB2-005	ANADIDO	L1755	Key job safety information/instructions are routinely reinforced in a variety of ways, especially over the first several weeks on the job	cuatro semanas	Reforzar de varias maneras las instrucciones clave de seguridad, sobre todo durante sus primeras semanas en el puesto	El libro dice first several weeks, sin cifra. Buscado four weeks/4 weeks/month: no aparece. La cifra cuatro es inventada.
SB2-006	FIEL	L343	Ground-fault circuit interrupters are installed on each temporary 15 or 20 ampere, 120 volt alternating current (AC) circuit at locations where construction, demolition, modifications, alterations, etc. , are performed.			Resume el requisito de GFCI en circuitos temporales; omite el detalle técnico pero no añade nada.
SB2-007	FIEL	L1979-L1981	Organization such as the American National Standards Institute (ANSI) and National Fire Protection Association (NFPA) issue voluntary consensus standards ... These are not OSHA standards, but they are developed ... to reflect current expertise and industry best practices.			Recoge los estándares de consenso voluntario como buenas prácticas, no como norma.
SB2-008	OPERATIVO	L1473-L1477	Floor holes are guarded by a cover, a guardrail, or equivalent on all sides (except at stairways or ladder entrances).		Revisar que cada abertura de piso de la instalación esté protegida con cubierta, barandilla o equivalente	La lista de autoinspección (L79-L83) implica revisar las aberturas; el paso concreta esa inspección sin datos nuevos.
SB2-009	FIEL	L1965-L1967	If your workers are organized, set up communications, as you do in normal labor relations, to coordinate action on hazards in your business.			Coordinar con sindicatos los temas de peligros: dicho por el libro.
SB2-010	FIEL	L1411; L1417	worksite-specific procedures for: ... cleaning, disinfecting, storing, inspecting, repairing, discarding, and otherwise maintaining respirators. / Respirators are regularly inspected, cleaned, sanitized and maintained.			Literal parafraseado.
SB2-011	FIEL	L849	A designated, trained individual at the worksite is responsible for (1) assessing and monitoring conditions (e. g. , temperature and humidity) and workers for symptoms of heat-related illness			Literal parafraseado.
SB2-012	FIEL	L1909-L1911	The Small Business Resource Guide provides plans, tools, tips, and information for keeping your workers safe and well			Recurso presentado por el libro.
SB2-013	FIEL	L1591	Only authorized and trained workers are permitted to use welding, cutting, and brazing equipment.			Literal parafraseado.
SB2-014	FIEL	L1733	Managers and workers have been trained on relevant child labor laws.			Formarse y formar a quien ayuda en las leyes de trabajo infantil.
SB2-015	FIEL	L1837	Employers can also read OSHA's standard interpretations, which are letters or memos written in response to questions from the public			Literal parafraseado.
SB2-016	OPERATIVO	L1791	SHARP recognizes small business employers who have used consultation services and operate an exemplary safety and health program.		Revisa si calificas para el programa SHARP, que reconoce a quienes usaron la consulta y tienen un programa de seguridad ejemplar	El libro pone como criterio haber usado la consulta y tener un programa ejemplar; el paso lo concreta como haber aplicado las recomendaciones, en la misma dirección.
SB2-017	FIEL	L1415	Respirators are National Institute for Occupational Safety and Health (NIOSH)- approved for the particular application.			Literal.
SB2-018	FIEL	L413	Exit doors and doors in the required path to the exit are not locked, blocked, or otherwise obstructed.			Literal.
SB2-019	FIEL	L1409-L1411	A written respiratory protection program has been established and implemented in accordance with the requirements of 29 CFR 1910.134(c).			Programa escrito y específico del lugar según 1910.134.
SB2-020	ANADIDO	L591	Standpipes, fire hoses, and fire hose valves, are inspected regularly and tested annually.	inspeccionar una vez al año	Inspecciona con regularidad y prueba una vez al año las mangueras y válvulas contra incendio	El libro fija la prueba anual pero la inspección solo como regular, sin frecuencia; el paso pone la inspección también anual. Buscado annually/regularly/month en todo el libro: no hay frecuencia anual para inspeccionar mangueras.
SB2-021	OPERATIVO	L485	The plan addresses the types of actions expected of different workers for the various types of potential emergencies.		Asegura que el plan diga qué acciones se esperan de cada trabajador según el tipo de emergencia, y que las conozcan	El libro pide que el plan defina las acciones de cada trabajador; la capacitación en el plan no se dice en esa sección, aunque va en la misma dirección (L1763 jóvenes preparados para emergencias).
SB2-022	CONTRARIO	L1791	A worksite receives a deferral from OSHA or State Plan programmed inspections during the period that its SHARP designation is valid.	exento de las inspecciones programadas	Si obtienes la designación SHARP, tus inspecciones programadas quedan aplazadas mientras esa designación esté vigente	El libro da otro valor para el mismo dato: aplazamiento (deferral) mientras la designación sea válida, no exención. Buscado exempt/defer: solo aparece deferral para SHARP.
SB2-023	FIEL	L1701	All workers receive training on the workplace violence prevention program, (including de-escalation techniques), what to do in an emergency			Literal parafraseado.
