id	veredicto	lineas	frase_clave	dato	texto_fiel	razon
DK3-001	OPERATIVO	L182-L193; L413-L421	If your organization has investigations and disciplinary actions resorting under the same department, or the same group of people, then that is a pretty strong clue that the Old View reigns.		Mantener la investigacion de incidentes fuera del departamento o grupo que aplica acciones disciplinarias, y no tratarla como una revision de desempeno individual: es una oportunidad de aprendizaje.	El libro senala como sintoma de Old View que investigacion y disciplina dependan del mismo grupo, y que una investigacion New View no es revision de desempeno ni trata de disciplina o culpa. Disenar el proceso separado concreta eso en la misma direccion sin dato nuevo.
DK3-003	OPERATIVO	L2227-L2240	In hindsight, it is easy to forget to see the cues from the point of view of people at the time, and when and how strongly they appeared.		En la linea de tiempo, mostrar que senales llegaron y cuando, y con que fuerza y ambiguedad aparecieron: las tempranas que apoyaban el plan y las tardias, mas debiles, que apuntaban a abandonarlo.	El libro pide que la linea de tiempo muestre which cues came in when y atender a when and how strongly they appeared, distinguiendo senales tempranas fuertes y tardias debiles y ambiguas. Clasificarlas por fuerza, ambiguedad y momento concreta eso sin anadir dato.
DK3-007	OPERATIVO	L2821-L2837	latent errors, or conditions buried inside the organization that lie dormant for a long time but can be triggered in a particular set of circumstances.		Tras un suceso, busca las condiciones latentes de la organizacion (como un diseno de instrumentacion inadecuado, la falta de entrenamiento o un mantenimiento que se dejo sin completar) que se combinaron con los actos en primera linea, sabiendo que esa busqueda puede volverse interminable y sirve mas para encontrar y clasificar contribuyentes que para predecir.	El libro describe las condiciones latentes y las ilustra en Bhopal con diseno de instrumentacion, falta de entrenamiento de emergencia y un tubo retirado por mantenimiento; el modelo encourages us to probe organizational contributions to failure. Mapearlas concreta eso. Pero el libro advierte que la busqueda de latent failures can quickly become pointless (837 pathogens) y que sirve after a mishap mas que para predecir; el texto fiel recoge ese limite.
DK3-030	OPERATIVO	L2827; L2858	Defenses that could have stopped or mitigated the further evolution of events either did not exist or came up short.		Comprueba si las defensas que crees tener existen de verdad y funcionan como se supone (en Bhopal el sistema de refrigeracion estaba apagado y la antorcha desconectada), y si son realmente independientes entre si.	El libro muestra en Bhopal defensas que no existian o se quedaron cortas, y en el caso del doble chequeo de enfermeria una barrera que en la practica no era independiente. Evaluar si las defensas funcionan de verdad va en la misma direccion sin dato nuevo.
DK3-063	OPERATIVO	L2821	We have both hard and soft defenses (or barriers) in place, consisting of, for example, blast walls, or procedures.		Identifica las defensas duras (por ejemplo, muros de contencion) y blandas (por ejemplo, procedimientos) que protegen tu actividad frente al riesgo.	El libro describe defensas duras y blandas dentro del modelo de barreras; identificarlas en el propio sistema es aplicar esa descripcion sin anadir dato.
DK3-009	OPERATIVO	L2325-L2337	Mode error. The user thought the computer was in one mode, and did the right thing had it been in that mode, yet the computer was actually in another mode.		Revisar la tecnologia con la que trabaja la gente buscando los problemas tipicos que el libro enumera: error de modo, perderse en arquitecturas de pantallas, sobrecarga de datos, falta de coordinacion de entradas, carga de trabajo y dificultad para notar cambios en valores digitales.	El libro enumera error de modo, getting lost in display architectures y data overload como cosas que pueden pasar con la nueva tecnologia. Auditar la interfaz buscando esos riesgos concreta la lista en la misma direccion; pantallas poco intuitivas es parafrasis de perderse en arquitecturas de pantallas.
DK3-042	OPERATIVO	L2331	Where people work together on one (automated) process, they have to invest in common ground by telling one another what they tell the computer, and double-checking each other's work.		Cuando varias personas trabajan sobre un mismo proceso automatizado, comprobar si se cuentan unas a otras lo que le dicen al ordenador y si revisan el trabajo de las otras, sabiendo que bajo presion o repeticion esa coordinacion puede no ocurrir de forma consistente.	El libro describe la falta de coordinacion de entradas al ordenador cuando varias personas trabajan en un proceso automatizado. Verificar los mecanismos de coordinacion concreta ese punto sin dato nuevo.
DK3-069	FIEL	L2321; L3310	What do your people have to do to "finish the design" of the tools and technologies that the organization has given them to work with?			El libro dice que la nueva tecnologia obliga a los practicantes a tailor it in locally pragmatic ways, to make it work y pregunta directamente que tiene que hacer la gente para terminar el diseno de sus herramientas. El paso lo parafrasea.
DK3-012	ANADIDO	L2386-L2388	Improvements in the form of new technology get stretched in some way, pushing operators back to the edge of the operational envelope from which the technological innovation was supposed to buffer them.	Establecer limites organizacionales que eviten explotar al maximo cada mejora tecnologica: el libro describe la ley de desarrollo de sistemas pero no propone fijar limites a su explotacion	Tener presente que toda mejora tecnologica tiende a estirarse hasta que el sistema vuelve a operar en su limite de capacidad, empujando a los operadores de vuelta al borde del envolvente operacional del que la tecnologia debia protegerlos.	El libro presenta la ley de Hirschorn como descripcion (every system always operates at its capacity; effective leaders will exploit every new advance to the limit) y no prescribe ninguna norma organizacional que limite esa explotacion. Buscados limit, margin, capacity, exploit: solo aparecen la descripcion y la vigilancia de margenes que se erosionan, no un limite a la explotacion de la tecnologia.
DK3-056	OPERATIVO	L2386-L2388	New technology is also not neutral when it comes to the performance expectations put on the system.		Al introducir nueva tecnologia, anticipar que no es neutral respecto a las expectativas de desempeno: sus mejoras tienden a usarse para exigir mas al operador.	El libro dice que la nueva tecnologia eleva las expectativas de desempeno y que las mejoras se usaron to demand more from the operator. Identificar de antemano que expectativas subiran concreta esa idea en su direccion sin dato nuevo.
