id	veredicto	lineas	frase_clave	dato	texto_fiel	razon
DK3-001	FIEL	L411-L421; L182	they are not a performance review; they are not about discipline or blame / If your organization has investigations and disciplinary actions resorting under the same department... the Old View reigns			El libro separa la investigacion de la disciplina y de la evaluacion de desempeno.
DK3-002	FIEL	L1819-L1844	Operationalization breaks up the phenomenon into smaller, measurable or observable bits / shared understanding of the situation... of the goal... of the solution strategy			Mismo ejemplo de Orasanu que el libro.
DK3-003	OPERATIVO	L2231-L2239	make sure that your timeline shows which cues came in when		Asegurar que la linea de tiempo muestre que senales llegaron y cuando, cuales fueron tempranas y fuertes y cuales tardias, mas debiles y ambiguas	El libro pide ordenar las senales en la linea de tiempo segun cuando llegaron y su fuerza; 'clasificar cada senal' es una concrecion en la misma direccion.
DK3-004	FIEL	L3848; L2978	don't (just) look for the holes you know about, or the problems that show up in your incident reports			Paráfrasis del consejo de Wald aplicado a la organizacion.
DK3-005	FIEL	L2829-L2831	turned people's attention to upstream factors, away from just frontline operator 'errors'			El libro critica el papel del 'unsafe act' final como causa.
DK3-006	FIEL	L4043; L1677-L1685	To understand what went on in somebody's mind, you have to reconstruct the situation in which that mind found itself.			Literal.
DK3-007	OPERATIVO	L2821-L2837; L316	latent errors, or conditions buried inside the organization that lie dormant for a long time		Buscar las condiciones latentes de la organizacion (diseno deficiente, mantenimiento defectuoso, falta de formacion) que contribuyeron al suceso, sin pretender contarlas todas para predecir	El libro describe las condiciones latentes y sus ejemplos, pero advierte que su busqueda exhaustiva puede volverse inutil (837 'latent pathogens'); el paso aplica el concepto a tu negocio.
DK3-008	FIEL	L355-L357; L375	Sees 'human error' as a symptom of deeper trouble			Literal.
DK3-009	OPERATIVO	L2325-L2337	Mode error... Getting lost in display architectures... Data overload		Revisar si en el trabajo con la tecnologia aparecen error de modo, perdida en la arquitectura de pantallas o sobrecarga de datos	El libro enumera estos problemas como cosas que pueden pasar; 'auditar la interfaz' concreta en la misma direccion.
DK3-010	FIEL	L2753-L2768	Please stop using the triangle / the fixed ratios... turn out to be... a false promise			Literal.
DK3-011	FIEL	L3855	Monitoring of safety monitoring (or meta-monitoring).			Literal.
DK3-012	ANADIDO	L2384-L2388; L2317	every system always operates at its capacity. Improvements in the form of new technology get stretched in some way	limites organizacionales que eviten explotar al maximo cada mejora tecnologica	Reconocer que cada mejora tecnologica tiende a estirarse hasta devolver al sistema al limite de su capacidad, y hacer visible como se erosionan los margenes de seguridad	El libro describe la ley como inevitable ('effective leaders will exploit every new advance to the limit') y pide hacer visible la erosion de margenes (L3084, L3089); no propone limites organizacionales. Grep de margin, limit, capacity sin respaldo.
DK3-013	FIEL	L2346	requiring practitioners to increase their 'mode awareness' by calling out what mode their automated system is in is of limited value. Such call-outs typically get shed when workload is higher			Literal.
