id	veredicto	lineas	frase_clave	dato	texto_fiel	razon
DK4-001	FIEL	L1779-L1789	try to understand how their understanding of the situation was not static or complete, as yours in the shopping bag is, but rather incomplete, unfolding and uncertain. Your timeline should help a lot with this.			El libro pide usar el timeline para entender una comprension incompleta, en desarrollo e incierta.
DK4-002	OPERATIVO	L2244-L2248	Soft and hard gates (for example, 1,000 feet, 500 feet), when set in context of the end of a flight at a busy, major airport on a scheduled flight, become norms against which to plan and negotiate the actual approach		Revisar que criterios formales (soft y hard gates, por ejemplo 1.000 o 500 pies) definian cuando la aproximacion debia interrumpirse por no estar estabilizada	El libro describe los gates y los criterios de aproximacion estabilizada; revisarlos es una concrecion suya, y el "u operacion" generaliza sin dato nuevo.
DK4-003	FIEL	L2978; L3300-L3302	So when you do your next safe work observations, for example, do not walk around telling people how they are supposed to work. Try to understand why they work the way they do			El libro manda mirar el trabajo real y estudiar la brecha entre la guia escrita y el trabajo hecho.
DK4-004	FIEL	L2094-L2096	the people involved in it should not be called "investigators" but a "learning team" or "learning review team."			Literal del libro.
DK4-005	FIEL	L3231-L3234	Focusing on safety in line discussions can quickly become a paternalistic exercise.			Parafrasis directa: si solo cuidas la seguridad de la gente, se sienten tratados como ninos.
DK4-006	OPERATIVO	L3991; L767	walk your colleagues, your managers or your stakeholders through some of the material in chapters 1 and 2 of The Field Guide. Help them understand the different views of human error, help them recognize their own reactions to failure		Recorrer con los investigadores el material sobre retrospectiva y reacciones al fallo para que reconozcan su propio sesgo retrospectivo.	El libro no habla de "entrenar" investigadores, pero si de guiar a colegas por el material para que reconozcan sus reacciones; misma direccion sin dato nuevo.
DK4-007	OPERATIVO	L171	This leads to nonsensical statements like "85 percent of our incidents or accidents are due to 'human error'."		Cuestiona cualquier estadistica del tipo 'X% de los incidentes son por error humano': trata el 'error humano' como una atribucion hecha despues, no como una categoria contable separable de su contexto.	El libro descalifica esas cifras; lo de "pide que te expliquen las condiciones de fondo" concreta la idea (L17 "ask 'is that so?'") sin dato nuevo.
DK4-008	FIEL	L658	For some it can be empowering to be part of an investigation process. The opportunity to recount experiences firsthand can be healing--if these are taken seriously and do not expose the second victim to potential retribution			Parafrasis directa.
DK4-009	FIEL	L551; L656-L658	Put second victim support in place.			El libro describe la culpa de las segundas victimas y pide apoyarlas.
DK4-010	FIEL	L3830	For sure--the efforts that have gone into it so far have to be sustained. That way, you can maintain the level of safety that has been achieved. But at the thin edge of the wedge, doing more of the same will not lead to additional safety improvement.			Parafrasis directa.
DK4-011	OPERATIVO	L3634-L3648	functional decentralization		Evaluar el grado de descentralizacion funcional de la organizacion, uno de los requisitos que la teoria HRO exige.	El libro solo lista la descentralizacion funcional como requisito HRO; evaluarla y acotarla a "decisiones de seguridad" es concrecion sin dato nuevo.
DK4-012	OPERATIVO	L2441-L2447	If other tasks intrude in, for example, checklist reading, or checklist reading intrudes in other tasks, there is no written guidance available on how priority should be given (or not) to the intervening tasks.		Revisar como tratan las guias escritas las interrupciones, las tareas concurrentes y la prioridad entre tareas, sabiendo que no todas las eventualidades caben en un procedimiento.	El libro senala la falta de guia sobre interrupciones y tareas paralelas, pero advierte que pocas interrupciones pueden anticiparse por escrito; rediseñar es concrecion en su direccion.
DK4-013	FIEL	L656-L658	Justice can come from acknowledging that the practitioner is a victim too--a second victim.			Parafrasis del apoyo a la segunda victima.
DK4-014	OPERATIVO	L3139-L3145; L3109	Incentive structures around the absence of negatives can get people to suppress bad news, or to fudge injury or incident numbers.		Revisar como se clasifican las lesiones (tiempo perdido, tratamiento medico) para detectar si se reclasifican para no romper la racha de dias sin lesiones.	El libro cuenta la reclasificacion LTI/MTI; la auditoria es concrecion, y las categorias del libro son de tiempo perdido y tratamiento, no de gravedad.
DK4-015	FIEL	L2248	become norms against which to plan and negotiate the actual approach vis-à-vis the air traffic and weather situation, not iron-fisted stop rules for that approach.			Parafrasis directa.
DK4-016	FIEL	L2895-L2899	There is not much difference (if at all) between studying a successful or a failed system, since the organizational processes that lead to both are very similar.			Literal.
DK4-017	FIEL	L2252	The paying of bonuses for on-time performance, which has been, and still is, custom in some airlines, is an obvious way to increase the likelihood of unstabilized approaches that are not broken off.			El libro contrasta recompensar el go-around con los bonos por puntualidad.
DK4-018	OPERATIVO	L3697; L3141-L3145	workplace signs that track the number of hours or days without a losttime or recordable injury. This encourages numbers games		Revisar si hay carteles o senales publicas de dias sin lesiones que fomenten el juego de numeros y la ocultacion.	El libro describe el efecto de los carteles; revisarlos es concrecion sin dato nuevo.
DK4-019	OPERATIVO	L658	Strong social and organizational support systems for second victims (psychological first aid, debriefings, follow-up), have proven critical		Ofrecer seguimiento (follow-up) a los afectados como parte del sistema de apoyo a las segundas victimas.	El libro dice "follow-up" sin horizonte; "mediano y largo plazo" es una matizacion vaga, no una cifra.
DK4-020	FIEL	L2252	offer generic rewards for all the cases in which crews execute a missed approach. Chief pilots or managers of flight operations who offer a no-questions-asked reward			Parafrasis directa.
DK4-021	FIEL	L914; L942	In order to understand error, you have to examine the larger system in which these people worked.			Parafrasis directa del apartado Proximal.
DK4-022	FIEL	L3646; L3753	This supports the importance (as emphasized by HRO theory, and many others) of learning from near misses.			Aprendizaje sistematico y aprender de los casi-accidentes estan en el libro.
DK4-023	FIEL	L2075; L763	This conversion into simple, linear causality is called the hindsight bias.			Parafrasis directa.
DK4-024	FIEL	L2891; L2493	One starting point, then, for understanding a driver behind routine deviations, is to look deeper into these goal interactions			Parafrasis.
DK4-025	ANADIDO	L3867	Having a person or function within the system with the authority, credibility and resources to go against common interpretations and decisions about safety and risk. ... Your organization shows a level of maturity if it succeeds in building in this function or possibility at meaningful organizational levels.	Ombudsman de seguridad que reporta directamente al consejo de administracion y tiene poder de veto sobre decisiones de riesgo	Integrar a una persona o funcion con autoridad, credibilidad y recursos para ir contra las interpretaciones y decisiones comunes sobre seguridad y riesgo, situada en un nivel significativo de la organizacion	El libro no nombra un Ombudsman, ni el consejo de administracion, ni poder de veto; busque ombuds, veto, board, directors sin respaldo.
DK4-026	FIEL	L1677-L1679	How did the world look to them at the time?			Literal.
DK4-027	OPERATIVO	L549; L2082-L2084	others have responsibility to ensure that required resources are available		Evaluar como los recursos, el entrenamiento y otras condiciones del sistema contribuyeron al evento, sin convertirlos en nuevos "errores" de otras personas.	El libro apoya mirar recursos y entrenamiento como factores distales, pero advierte (L163, L4041) contra explicar un error con otro de la supervision; el paso se queda con ese matiz.
DK4-028	CONTRARIO	L3835-L3848	If you want to seek out and prevent what is going to lead to a fatality or accident, then don't (just) look for the holes you know about, or the problems that show up in your incident reports or safety management system. Look in the places where there are no holes	concentrar las defensas donde el sistema de reporte registra mas incidentes y fallos	En una organizacion ultra segura, reforzar las defensas donde no se ven agujeros: el trabajo normal, las frustraciones y los arreglos diarios que nadie reporta	El consejo de Wald es el opuesto: los agujeros reportados son fenomeno senuelo y marcas de resiliencia; no hay pasaje que apoye blindar donde mas se reporta.
DK4-029	FIEL	L2038	You want your recommendation to somehow contain "measurable" criteria for success.			Literal.
DK4-030	FIEL	L2978	we have to focus on frequent events, not necessarily severe ones. What presents difficulty on a daily basis, the often-encountered workarounds and frustrations?			Parafrasis directa.
DK4-031	FIEL	L2978	it will also want to understand the messy details of how people normally get their jobs done--despite the goal conflicts, design flaws, communication difficulties and more.			Parafrasis.
DK4-032	FIEL	L788-L791	Bad process may still lead to good outcomes, and vice versa.			Literal.
DK4-033	OPERATIVO	L3630; L3861	structural secrecy associated with bureaucratic organization, where information does not cross the boundaries of the various silos in which work is done and administered		Identificar los silos donde la informacion no cruza fronteras (secreto estructural) y puede ocultar senales de riesgo.	El libro describe el secreto estructural de los silos; mapearlos es concrecion sin dato nuevo.
