id	veredicto	lineas	frase_clave	dato	texto_fiel	razon
SB2-001	OPERATIVO	L1853-L1863	Section 11(c) of the OSH Act prohibits any person from firing or in any manner retaliating against any worker for exercising rights under the OSH Act.		Asegurate de que quienes trabajan contigo sepan que la ley los protege de represalias por plantear problemas de seguridad, reportar una lesion, presentar una queja o participar en una inspeccion, y que la queja por represalia se presenta ante la autoridad en un plazo corto de dias calendario (en el libro, 30 dias ante OSHA).	El libro describe el derecho y como ejercerlo (contactar a la autoridad dentro de 30 dias), pero no pide al empleador explicarlo; informar a los trabajadores concreta ese derecho en su misma direccion (el libro tambien pide ensenar a los jovenes sus derechos, L1747) sin dato nuevo.
SB2-002	FIEL	L315-L317	Whenever a worker is exposed to contact with parts of fixed electric equipment or circuits that have been de-energized, the circuits energizing the parts are locked out or tagged, as appropriate.			El libro pide bloquear o etiquetar, segun corresponda, los circuitos desenergizados cuando un trabajador queda expuesto a sus partes; el paso lo parafrasea.
SB2-004	ANADIDO	L1473-L1483	Covers including skylight screens, are able to withstand, without failure, twice the maximum intended load that may be imposed on the cover at any one time.	que las barandillas soporten el doble de la carga maxima	Proteger cada abertura de piso con una cubierta, una barandilla o equivalente en todos sus lados (salvo en escaleras o accesos de escalera); las cubiertas, incluidas las pantallas de tragaluz, deben soportar sin fallar el doble de la carga maxima prevista.	El requisito del doble de la carga maxima es solo para las cubiertas (L1481); buscado twice/double en todo el libro, no hay requisito de carga para barandillas de aberturas de piso (solo 200 libras para pasamanos de escalera, L1551, otro objeto).
SB2-005	ANADIDO	L1753-L1755	Key job safety information/instructions are routinely reinforced in a variety of ways, especially over the first several weeks on the job, to help ensure young workers clearly understand tasks to be performed.	cuatro semanas	Reforzar de forma rutinaria y de varias maneras la informacion y las instrucciones clave de seguridad, sobre todo durante las primeras semanas en el puesto.	El libro habla de varias semanas sin cifra y de un refuerzo rutinario no limitado a ese periodo; buscado four weeks, 4 weeks, cuatro y month en todo el libro sin encontrar un plazo de cuatro semanas.
SB2-008	OPERATIVO	L1473-L1483	Floor holes are guarded by a cover, a guardrail, or equivalent on all sides (except at stairways or ladder entrances).		Revisar, como parte de la autoinspeccion, que todas las aberturas de piso de la instalacion esten protegidas con cubierta, barandilla o equivalente en todos sus lados (salvo en escaleras o accesos de escalera).	El libro es una lista de autoinspeccion (L81-L83: identify hazards) y da los criterios de las aberturas de piso; inspeccionarlas concreta esa lista en su misma direccion sin dato nuevo.
SB2-011	FIEL	L847-L849	A designated, trained individual at the worksite is responsible for (1) assessing and monitoring conditions (e. g. , temperature and humidity) and workers for symptoms of heat-related illness			El libro pide una persona designada y capacitada que monitoree las condiciones y a los trabajadores por sintomas de calor; el paso lo dice.
SB2-016	OPERATIVO	L1791	SHARP recognizes small business employers who have used consultation services and operate an exemplary safety and health program.		Revisa si calificas para SHARP, que reconoce a los pequenos negocios que usaron los servicios de consulta y operan un programa de seguridad y salud ejemplar.	El libro dice que el empleador puede llegar a ser elegible si uso la consulta y opera un programa ejemplar; aplicar las recomendaciones es una concrecion en la misma direccion, no un dato nuevo.
SB2-018	FIEL	L413	Exit doors and doors in the required path to the exit are not locked, blocked, or otherwise obstructed.			Traduccion directa del punto de la lista de puertas.
SB2-020	ANADIDO	L591	Standpipes, fire hoses, and fire hose valves, are inspected regularly and tested annually.	inspeccion una vez al ano (el libro pide inspeccion regular; lo anual es la prueba)	Inspecciona con regularidad, y prueba una vez al ano, las columnas de agua, las mangueras y las valvulas contra incendio.	El libro separa la frecuencia: inspeccion regular y prueba anual; el paso fija la inspeccion en una vez al ano, frecuencia que el libro no da para la inspeccion.
SB2-021	OPERATIVO	L485-L493	The plan addresses the types of actions expected of different workers for the various types of potential emergencies.		Capacitar a tus trabajadores en el plan y en las acciones que se esperan de cada uno segun el tipo de emergencia.	El plan define las acciones esperadas de cada trabajador y el libro pide que los trabajadores esten entrenados y preparados para emergencias (L1763, L1701); capacitar en el plan concreta eso sin dato nuevo.
