id	veredicto	lineas	frase_clave	dato	texto_fiel	razon
DK4-001	FIEL	L1779-L1791	try to understand how their understanding of the situation was not static or complete, as yours in the shopping bag is, but rather incomplete, unfolding and uncertain. Your timeline should help a lot with this.			El libro pide usar el timeline para entender la comprension situacional como incompleta, cambiante e incierta; el paso lo parafrasea sin anadir nada.
DK4-002	OPERATIVO	L2244-L2252	Soft and hard gates (for example, 1,000 feet, 500 feet), when set in context of the end of a flight at a busy, major airport on a scheduled flight, become norms against which to plan and negotiate the actual approach vis-a-vis the air traffic and weather situation, not iron-fisted stop rules for that approach.		Identificar los criterios formales de aproximacion estabilizada (soft y hard gates, por ejemplo 1.000 y 500 pies) sabiendo que las tripulaciones los usan como normas para planificar y negociar la aproximacion, no como reglas de parada, y que recordarlos sirve de poco.	El libro describe los criterios y las gates, pero no manda revisarlos; el paso concreta una accion de investigacion en su direccion. Conviene anadir que el libro advierte que las tripulaciones no interpretan la situacion en terminos de esos criterios.
DK4-006	OPERATIVO	L3991-L3991	To the extent possible, walk your colleagues, your managers or your stakeholders through some of the material in chapters 1 and 2 of The Field Guide. Help them understand the different views of human error, help them recognize their own reactions to failure		Ayudar a colegas, directivos e investigadores a reconocer el sesgo retrospectivo y sus propias reacciones al fallo, recorriendo con ellos el material de los capitulos 1 y 2 de la Field Guide.	El libro no habla de entrenar investigadores, pero si de guiar a colegas y directivos por el material sobre reacciones al fallo para que las reconozcan; entrenar concreta eso sin datos nuevos.
DK4-007	OPERATIVO	L165-L171	This leads to nonsensical statements like “85 percent of our incidents or accidents are due to ‘human error’.”		Desconfia de afirmaciones como 'el 85% de nuestros incidentes se deben a error humano': tratan como categoria contable lo que es una atribucion hecha despues de los hechos y separan la conducta del contexto organizacional y tecnico en que ocurrio. Pregunta 'es eso asi?' y mira las condiciones en que trabajaban las personas.	El libro califica esas estadisticas de sinsentido y pide preguntar 'is that so?' y mirar las condiciones; el paso lo convierte en accion de cuestionar y pedir explicacion, en la misma direccion.
DK4-010	FIEL	L3830-L3830	the efforts that have gone into it so far have to be sustained. That way, you can maintain the level of safety that has been achieved. But at the thin edge of the wedge, doing more of the same will not lead to additional safety improvement.			El libro dice literalmente que hay que sostener los esfuerzos para mantener el nivel y que hacer mas de lo mismo no dara mas mejora; buscar estrategias nuevas es la consecuencia que el propio texto extrae.
DK4-011	OPERATIVO	L3634-L3648	functional decentralization; ... All these things are required for your organization to achieve HRO status. While some organizations may come closer to some of these ideals than others, there is none that has closed the gap perfectly.		Evaluar hasta que punto la organizacion cumple el requisito HRO de descentralizacion funcional, sabiendo que ninguna organizacion ha cerrado la brecha del todo y que manipular estos atributos no garantiza mantenerse en cero.	El libro enumera la descentralizacion funcional como requisito HRO; evaluarla es una concrecion. El libro no la acota a 'decisiones de seguridad' y la presenta en lectura critica (sin garantias).
DK4-012	OPERATIVO	L2441-L2449	If other tasks intrude in, for example, checklist reading, or checklist reading intrudes in other tasks, there is no written guidance available on how priority should be given (or not) to the intervening tasks.		Revisar las guias escritas para que reconozcan variaciones de orden, interrupciones y tareas concurrentes (hoy sin orientacion sobre como priorizar las tareas que se interponen), sabiendo que solo muy pocas distracciones, cambios o interrupciones reales pueden anticiparse con detalle en un procedimiento.	El libro senala la falta de guia sobre variaciones, interrupciones y prioridades, pero no propone redisenar; ademas advierte que pocas interrupciones pueden anticiparse por escrito (L2447). Concrecion en su direccion, con ese limite.
DK4-014	OPERATIVO	L3139-L3145	Incentive structures around the absence of negatives can get people to suppress bad news, or to fudge injury or incident numbers.		Revisar si las lesiones se reclasifican (por ejemplo, dejando de contarlas como Loss-Time Injury o Medical-Treatment Injury) para proteger rachas o cifras, como en el caso del cartel que paso de 297 a 300 dias.	El libro narra la reclasificacion LTI/MTI para salvar la racha y dice que los incentivos llevan a maquillar cifras; no propone auditar, pero hacerlo concreta el aviso sin datos nuevos.
DK4-018	FIEL	L3697-L3697	workplace signs that track the number of hours or days without a losttime or recordable injury. This encourages numbers games;			El libro senala expresamente los carteles de dias sin lesiones como algo que fomenta el juego de numeros y la supresion de reportes; el paso pide mirar si existen, sin anadir nada.
DK4-019	ANADIDO	L656-L658	Strong social and organizational support systems for second victims (psychological first aid, debriefings, follow-up), have proven critical to contain the negative consequences	a mediano y largo plazo (el libro dice solo follow-up, sin plazo)	Ofrecer seguimiento (follow-up) a las segundas victimas como parte de un sistema de apoyo social y organizacional, junto con primeros auxilios psicologicos y debriefings.	El libro respalda el seguimiento, pero no fija horizonte temporal; busque long-term, long term, follow up y variantes sin encontrar plazo alguno.
