id	veredicto	lineas	frase_clave	dato	texto_fiel	razon
DK2-001	FIEL	L1014-L1018	Tell the story back to them as investigator. This is to check whether you understand the story as the participants understood it.			Es el paso 2 del orden de Klein, parafraseado sin anadir nada.
DK2-055	FIEL	L1014-L1016	Have participants tell the story from their point of view, without presenting them with any replays or reminders that supposedly "refresh their memory" but would actually distort it.			Es el paso 1 del orden de Klein: narrar desde su punto de vista, sin replays ni recordatorios.
DK2-098	CONTRARIO	L1014-L1022	without presenting them with any replays or reminders that supposedly "refresh their memory" but would actually distort it.	Mostrar la grabacion antes de que narre para refrescar su memoria	Dejar que el participante cuente primero la historia desde su punto de vista, sin mostrarle grabaciones ni recordatorios; la reproduccion, si existe, se muestra solo despues, al reconstruir cada punto critico, para llenar huecos o mostrar la diferencia entre datos disponibles y datos observados.	El libro desaconseja expresamente mostrar replays antes del relato porque distorsionan la memoria; solo admite el replay en el paso 4. El paso invierte la secuencia.
DK2-004	OPERATIVO	L2855-L2858	It turned out, however, that this ward actually began having more medication adverse events. The reason was that the supposed added barrier (the extra nurse who needed to re-calculate) was not independent from the first one.		Comprobar si la barrera humana anadida (por ejemplo, un segundo verificador) reduce de verdad los eventos adversos o si, por no ser independiente de la primera, los aumenta.	El libro muestra que la sala descubrio mas eventos adversos tras anadir el doble chequeo; comprobar el efecto del control redundante concreta esa leccion en su misma direccion. No prescribe medir antes y despues, y desconfia de contar 'errores' (L167, L4070), por eso el texto fiel habla de eventos adversos.
DK2-084	OPERATIVO	L2855-L2858	barriers consisting of people who know each other (and each other's work) are not independent at all. They interact in ways to actually erode both.		No dar por hecho que anadir una segunda persona que verifica anade una barrera independiente: las personas que se conocen y conocen el trabajo del otro no son independientes y pueden erosionar ambas barreras.	El libro describe la falacia de la redundancia social pero no prescribe redisenar la verificacion; hacerlo para lograr independencia real concreta la leccion en su misma direccion sin datos nuevos.
DK2-006	OPERATIVO	L2198-L2204	There is no right or wrong here. Only hindsight can show you whether people should have abandoned one explanation in favor of another ... you need to acknowledge the existence and importance of this balancing act.		Reconocer el equilibrio que las personas tuvieron que mantener entre el vagabundeo tematico (saltar de explicacion en explicacion) y la fijacion cognitiva (no revisar la interpretacion), sin juzgar desde la retrospectiva cual extremo era el correcto.	El libro describe el balance y pide reconocerlo; 'evaluar' es una concrecion en la misma direccion siempre que no se convierta en juzgar con retrospectiva, que el libro advierte que no tiene respuesta correcta.
DK2-011	OPERATIVO	L2182-L2196	A preliminary interpretation allows them to settle on an explanation that covers the data observed ... These factors supported their interpretation of the situation		Reconstruir como se formo la interpretacion preliminar y que datos e indicios la sostuvieron en su momento.	El libro ilustra con el caso del Airbus los factores que sostuvieron la interpretacion inicial; convertirlo en paso de investigacion concreta el texto sin anadir datos.
DK2-069	OPERATIVO	L2235-L2239	Later cues that suggest the plan should be abandoned are typically fewer, more ambiguous and not as strong ... make sure that your timeline shows which cues came in when		Mostrar en la cronologia que indicios posteriores apuntaban en otra direccion y por que, al ser mas debiles, ambiguos o tardios, no lograron desalojar la interpretacion inicial.	El libro pide que la cronologia muestre que indicios llegaron y cuando, y explica por que los indicios posteriores no convencen ('As with cognitive fixation'); documentarlo concreta esa guia.
DK2-068	OPERATIVO	L2207-L2217	In the fuel leak case described above, the dual demands of maintaining process integrity while diagnosing the problem, increased crew workload.		Documentar como la doble exigencia de mantener la integridad del proceso mientras se diagnostica el problema aumento la carga de trabajo de las personas implicadas.	El libro senala que la doble demanda aumento la carga de trabajo; documentar su efecto en las decisiones concreta esa idea en la misma direccion.
DK2-044	CONTRARIO	L2250-L2252	One promising countermeasure seems to be not to remind crews of the criteria for a stabilized approach, but to offer generic rewards for all the cases in which crews execute a missed approach.	Recordar periodicamente los criterios de aproximacion estabilizada como contramedida principal	Ofrecer recompensas genericas, sin preguntas, a las tripulaciones que ejecutan una aproximacion frustrada, comunicando que interrumpir una aproximacion es legitimo y deseado, en lugar de limitarse a recordarles los criterios de aproximacion estabilizada.	El libro dice que hay poco recorrido en recordar a las tripulaciones los criterios (L2250) y que la contramedida prometedora es no recordarlos sino recompensar los go-around. Busque apoyo a los recordatorios en todo el libro y solo aparecen desaconsejados (L328, L3268, L3781).
